FIPS,State,County,% Smokers,% Obese,% Excessive Drinking,%Diabetes Age Adjusted 
01001,Alabama,Autauga,27,32,14,11.3
01003,Alabama,Baldwin,22,26,19,9.8
01005,Alabama,Barbour,23,38,9,13.6
01007,Alabama,Bibb,33,32,11,12
01009,Alabama,Blount,22,32,5,11.8
01011,Alabama,Bullock,,38,4,16.2
01013,Alabama,Butler,27,37,10,14
01015,Alabama,Calhoun,27,34,13,12.1
01017,Alabama,Chambers,20,36,11,13.6
01019,Alabama,Cherokee,26,32,15,11.4
01021,Alabama,Chilton,24,35,11,12.1
01023,Alabama,Choctaw,19,37,8,14.4
01025,Alabama,Clarke,22,36,14,13.1
01027,Alabama,Clay,24,32,8,12.6
01029,Alabama,Cleburne,22,29,11,11.1
01031,Alabama,Coffee,21,33,15,12
01033,Alabama,Colbert,30,35,8,12.8
01035,Alabama,Conecuh,19,32,3,15.5
01037,Alabama,Coosa,,33,6,13.6
01039,Alabama,Covington,28,34,12,11.6
01041,Alabama,Crenshaw,,34,,13.8
01043,Alabama,Cullman,25,30,7,11.7
01045,Alabama,Dale,27,34,16,13.5
01047,Alabama,Dallas,19,40,12,14.5
01049,Alabama,DeKalb,20,32,11,12.4
01051,Alabama,Elmore,23,29,11,12.6
01053,Alabama,Escambia,24,34,6,12.2
01055,Alabama,Etowah,28,31,14,13.2
01057,Alabama,Fayette,20,32,4,15
01059,Alabama,Franklin,,30,7,11.6
01061,Alabama,Geneva,,32,10,11.3
01063,Alabama,Greene,,44,,15.8
01065,Alabama,Hale,,40,8,12.8
01067,Alabama,Henry,20,34,4,12.4
01069,Alabama,Houston,21,33,12,12.2
01071,Alabama,Jackson,32,32,8,12.8
01073,Alabama,Jefferson,23,31,15,11.7
01075,Alabama,Lamar,22,31,,12.5
01077,Alabama,Lauderdale,19,29,7,10.8
01079,Alabama,Lawrence,24,33,8,13.7
01081,Alabama,Lee,24,30,20,10.6
01083,Alabama,Limestone,24,29,9,11
01085,Alabama,Lowndes,,41,,19.4
01087,Alabama,Macon,14,40,11,15.6
01089,Alabama,Madison,21,31,12,10.3
01091,Alabama,Marengo,13,38,15,15.4
01093,Alabama,Marion,,29,3,12.7
01095,Alabama,Marshall,30,27,12,12.4
01097,Alabama,Mobile,25,30,14,11.9
01099,Alabama,Monroe,20,35,10,13.8
01101,Alabama,Montgomery,19,34,13,13.6
01103,Alabama,Morgan,25,35,10,11.5
01105,Alabama,Perry,,41,,15.4
01107,Alabama,Pickens,17,35,9,13.9
01109,Alabama,Pike,21,35,10,14.8
01111,Alabama,Randolph,22,32,9,12.7
01113,Alabama,Russell,26,37,,13.3
01115,Alabama,St. Clair,30,34,15,11.3
01117,Alabama,Shelby,21,28,13,8.1
01119,Alabama,Sumter,20,41,13,14.7
01121,Alabama,Talladega,24,34,10,11.9
01123,Alabama,Tallapoosa,33,34,15,11.9
01125,Alabama,Tuscaloosa,22,33,13,11
01127,Alabama,Walker,29,33,9,13.1
01129,Alabama,Washington,,35,9,12.8
01131,Alabama,Wilcox,,41,,17.3
01133,Alabama,Winston,26,29,8,10.7
02000,Alaska,,23,28,19,
02013,Alaska,Aleutians East,,28,,8
02016,Alaska,Aleutians West,33,30,22,7.6
02020,Alaska,Anchorage,19,27,19,7.5
02050,Alaska,Bethel,34,32,17,6.7
02060,Alaska,Bristol Bay,,33,,8.2
02068,Alaska,Denali,21,30,21,6.1
02070,Alaska,Dillingham,40,39,16,8.1
02090,Alaska,Fairbanks North Star,22,26,21,6.5
02100,Alaska,Haines,19,29,21,6.7
02110,Alaska,Juneau,19,27,20,6.6
02122,Alaska,Kenai Peninsula,23,30,18,6
02130,Alaska,Ketchikan Gateway,25,34,23,7.2
02150,Alaska,Kodiak Island,21,26,25,6.8
02164,Alaska,Lake and Peninsula,,34,25,8.4
02170,Alaska,Matanuska-Susitna,28,28,16,7.7
02180,Alaska,Nome,46,33,21,7.9
02185,Alaska,North Slope,44,38,15,8.3
02188,Alaska,Northwest Arctic,49,31,18,7.7
02201,Alaska,Prince of Wales-Outer Ketchikan,34,34,20,
02220,Alaska,Sitka,20,31,23,7
02232,Alaska,Skagway-Hoonah-Angoon,25,31,22,
02240,Alaska,Southeast Fairbanks,25,31,14,6.4
02261,Alaska,Valdez-Cordova,25,33,18,5.9
02270,Alaska,Wade Hampton,38,33,11,7.1
02280,Alaska,Wrangell-Petersburg,23,26,19,
02282,Alaska,Yakutat,16,29,19,7.5
02290,Alaska,Yukon-Koyukuk,43,32,24,7
04000,Arizona,,18,24,17,
04001,Arizona,Apache,16,32,12,13.8
04003,Arizona,Cochise,22,23,16,8.3
04005,Arizona,Coconino,15,21,16,7.6
04007,Arizona,Gila,24,26,15,9.6
04009,Arizona,Graham,19,30,19,10.4
04011,Arizona,Greenlee,,33,,8.8
04012,Arizona,La Paz,16,29,21,10.1
04013,Arizona,Maricopa,18,23,18,7.9
